TO	ST	MI	MA	AP	AGE	SEX	SCORE	PHASE
1	1	1	1	2	16	Female	6	1
2	1	1	1	1	17	Female	6	1
1	2	1	1	1	19	Female	6	1
3	2	2	1	2	23	Female	10	3
1	1	3	1	1	27	Female	7	2
2	2	2	1	1	27	Female	8	2
2	3	3	1	2	29	Female	11	4
4	3	3	1	2	29	Female	13	5
3	3	2	1	2	30	Female	11	4
4	3	3	1	2	34	Female	13	5
2	2	3	1	1	35	Female	9	3
2	3	3	1	2	35	Female	11	4
3	2	1	1	1	37	Female	8	2
3	3	3	1	1	37	Female	11	4
2	3	3	1	1	38	Female	10	3
3	2	2	1	1	39	Female	9	3
5	3	3	2	3	39	Female	16	6
2	3	3	1	2	41	Female	11	4
4	3	3	1	2	43	Female	13	5
3	3	3	1	2	44	Female	12	4
2	3	2	1	3	45	Female	11	4
4	3	3	2	2	45	Female	14	5
4	3	3	1	2	46	Female	13	5
4	3	3	2	2	47	Female	14	5
4	4	3	1	2	47	Female	14	5
2	3	2	1	2	48	Female	10	3
4	3	3	1	2	49	Female	13	5
4	3	2	3	3	49	Female	15	6
4	3	3	1	2	50	Female	13	5
4	4	3	2	1	50	Female	14	5
4	4	3	2	2	50	Female	15	6
4	3	2	2	2	52	Female	13	5
5	3	3	2	2	52	Female	15	6
4	4	3	3	2	52	Female	16	6
2	2	3	1	1	53	Female	9	3
2	3	2	1	2	53	Female	10	3
4	2	3	1	1	53	Female	11	4
4	3	3	2	2	53	Female	14	5
5	5	3	3	2	53	Female	18	7
3	3	1	2	2	55	Female	11	4
4	4	2	1	2	55	Female	13	5
4	4	3	2	2	55	Female	15	6
3	3	3	1	2	56	Female	12	4
4	4	3	1	2	56	Female	14	5
4	4	3	1	2	56	Female	14	5
2	3	3	2	2	57	Female	12	4
4	3	3	1	2	57	Female	13	5
4	3	3	1	2	57	Female	13	5
4	4	3	2	2	58	Female	15	6
4	4	3	2	2	59	Female	15	6
4	3	2	2	2	60	Female	13	5
3	3	3	1	1	61	Female	11	4
4	3	3	2	2	61	Female	14	5
4	3	3	3	2	61	Female	15	6
4	3	2	1	2	62	Female	12	4
4	4	2	2	2	63	Female	14	5
3	4	3	2	2	64	Female	14	5
2	3	2	1	2	65	Female	10	3
